Entrez,Ensembl,Symbol
64421,ENSG00000152457,DCLRE1C
5896,ENSG00000166349,RAG1
5897,ENSG00000175097,RAG2
326,ENSG00000160224,AIRE
1081,ENSG00000135346,CGA
7157,ENSG00000141510,TP53
3725,ENSG00000177606,JUN
1026,ENSG00000124762,CDKN1A
4790,ENSG00000109320,NFKB1
5970,ENSG00000173039,RELA
6772,ENSG00000115415,STAT1
5594,ENSG00000100030,MAPK1
5595,ENSG00000102882,MAPK3
5747,ENSG00000169398,PTK2
6850,ENSG00000165025,SYK
1499,ENSG00000168036,CTNNB1
7046,ENSG00000106799,TGFBR1
5879,ENSG00000136238,RAC1
581,ENSG00000087088,BAX
1956,ENSG00000146648,EGFR
9131,ENSG00000156709,AIFM1
596,ENSG00000171791,BCL2
4609,ENSG00000136997,MYC
5599,ENSG00000107643,MAPK8
5601,ENSG00000050748,MAPK9
5602,ENSG00000109339,MAPK10
3002,ENSG00000100453,GZMB
2353,ENSG00000170345,FOS
701,ENSG00000156970,BUB1B
7879,ENSG00000075785,RAB7A
5290,ENSG00000121879,PIK3CA
5291,ENSG00000051382,PIK3CB
5293,ENSG00000171608,PIK3CD
5295,ENSG00000145675,PIK3R1
5296,ENSG00000105647,PIK3R2
8503,ENSG00000117461,PIK3R3
10000,ENSG00000117020,AKT3
207,ENSG00000142208,AKT1
208,ENSG00000105221,AKT2
102723407,ENSG00000275063,LOC102723407
1432,ENSG00000112062,MAPK14
5600,ENSG00000185386,MAPK11
5603,ENSG00000156711,MAPK13
6300,ENSG00000188130,MAPK12
836,ENSG00000164305,CASP3
10220,ENSG00000135414,GDF11
11035,ENSG00000129465,RIPK3
5777,ENSG00000111679,PTPN6
7189,ENSG00000175104,TRAF6
3661,ENSG00000126456,IRF3
3265,ENSG00000174775,HRAS
3845,ENSG00000133703,KRAS
4893,ENSG00000213281,NRAS
197259,ENSG00000168404,MLKL
3690,ENSG00000259207,ITGB3
6774,ENSG00000168610,STAT3
990,ENSG00000094804,CDC6
1385,ENSG00000118260,CREB1
114548,ENSG00000162711,NLRP3
7186,ENSG00000127191,TRAF2
93,ENSG00000114739,ACVR2B
3717,ENSG00000096968,JAK2
3718,ENSG00000105639,JAK3
718,ENSG00000125730,C3
8737,ENSG00000137275,RIPK1
4087,ENSG00000175387,SMAD2
4088,ENSG00000166949,SMAD3
998,ENSG00000070831,CDC42
2770,ENSG00000127955,GNAI1
2771,ENSG00000114353,GNAI2
2773,ENSG00000065135,GNAI3
637,ENSG00000015475,BID
2309,ENSG00000118689,FOXO3
1509,ENSG00000117984,CTSD
598,ENSG00000171552,BCL2L1
3689,ENSG00000160255,ITGB2
387,ENSG00000067560,RHOA
4772,ENSG00000131196,NFATC1
960,ENSG00000026508,CD44
841,ENSG00000064012,CASP8
10870,ENSG00000126264,HCST
3593,ENSG00000113302,IL12B
2660,ENSG00000138379,MSTN
595,ENSG00000110092,CCND1
3592,ENSG00000168811,IL12A
7057,ENSG00000137801,THBS1
4089,ENSG00000141646,SMAD4
6714,ENSG00000197122,SRC
29108,ENSG00000103490,PYCARD
8767,ENSG00000104312,RIPK2
1017,ENSG00000123374,CDK2
3553,ENSG00000125538,IL1B
5894,ENSG00000132155,RAF1
5156,ENSG00000134853,PDGFRA
4615,ENSG00000172936,MYD88
2885,ENSG00000177885,GRB2
3556,ENSG00000196083,IL1RAP
5781,ENSG00000179295,PTPN11
4170,ENSG00000143384,MCL1
4067,ENSG00000254087,LYN
3481,ENSG00000167244,IGF2
919,ENSG00000198821,CD247
983,ENSG00000170312,CDK1
2719,ENSG00000147257,GPC3
3565,ENSG00000113520,IL4
1234,ENSG00000160791,CCR5
4843,ENSG00000007171,NOS2
10379,ENSG00000213928,IRF9
8900,ENSG00000133101,CCNA1
92,ENSG00000121989,ACVR2A
3684,ENSG00000169896,ITGAM
2475,ENSG00000198793,MTOR
5579,ENSG00000166501,PRKCB
5289,ENSG00000078142,PIK3C3
57506,ENSG00000088888,MAVS
537,ENSG00000071553,ATP6AP1
7043,ENSG00000119699,TGFB3
1019,ENSG00000135446,CDK4
7852,ENSG00000121966,CXCR4
6773,ENSG00000170581,STAT2
3716,ENSG00000162434,JAK1
3586,ENSG00000136634,IL10
545,ENSG00000175054,ATR
6777,ENSG00000173757,STAT5B
6776,ENSG00000126561,STAT5A
60,ENSG00000075624,ACTB
71,ENSG00000184009,ACTG1
9700,ENSG00000135476,ESPL1
3594,ENSG00000096996,IL12RB1
7124,ENSG00000232810,TNF
2322,ENSG00000122025,FLT3
5925,ENSG00000139687,RB1
3683,ENSG00000005844,ITGAL
890,ENSG00000145386,CCNA2
842,ENSG00000132906,CASP9
3932,ENSG00000182866,LCK
5170,ENSG00000140992,PDPK1
11317,ENSG00000124232,RBPJL
3516,ENSG00000168214,RBPJ
3728,ENSG00000173801,JUP
5159,ENSG00000113721,PDGFRB
5880,ENSG00000128340,RAC2
3460,ENSG00000159128,IFNGR2
3459,ENSG00000027697,IFNGR1
27040,ENSG00000213658,LAT
5971,ENSG00000104856,RELB
472,ENSG00000149311,ATM
10666,ENSG00000150637,CD226
7099,ENSG00000136869,TLR4
834,ENSG00000137752,CASP1
2534,ENSG00000010810,FYN
10235,ENSG00000068831,RASGRP2
10125,ENSG00000172575,RASGRP1
5608,ENSG00000108984,MAP2K6
25780,ENSG00000152689,RASGRP3
3458,ENSG00000111537,IFNG
3320,ENSG00000080824,HSP90AA1
3326,ENSG00000096384,HSP90AB1
3569,ENSG00000136244,IL6
7297,ENSG00000105397,TYK2
815,ENSG00000070808,CAMK2A
816,ENSG00000058404,CAMK2B
817,ENSG00000145349,CAMK2D
818,ENSG00000148660,CAMK2G
2247,ENSG00000138685,FGF2
4791,ENSG00000077150,NFKB2
4193,ENSG00000135679,MDM2
356,ENSG00000117560,FASLG
94,ENSG00000139567,ACVRL1
64127,ENSG00000167207,NOD2
3606,ENSG00000150782,IL18
5335,ENSG00000124181,PLCG1
5336,ENSG00000197943,PLCG2
3665,ENSG00000185507,IRF7
6093,ENSG00000067900,ROCK1
9475,ENSG00000134318,ROCK2
4775,ENSG00000072736,NFATC3
7535,ENSG00000115085,ZAP70
6885,ENSG00000135341,MAP3K7
7097,ENSG00000137462,TLR2
7187,ENSG00000131323,TRAF3
5609,ENSG00000076984,MAP2K7
6778,ENSG00000166888,STAT6
30009,ENSG00000073861,TBX21
4214,ENSG00000095015,MAP3K1
3688,ENSG00000150093,ITGB1
994,ENSG00000101224,CDC25B
331,ENSG00000101966,XIAP
100528032,ENSG00000255819,KLRC4-KLRK1
22914,ENSG00000213809,KLRK1
5058,ENSG00000149269,PAK1
1027,ENSG00000111276,CDKN1B
3552,ENSG00000115008,IL1A
91,ENSG00000135503,ACVR1B
7422,ENSG00000112715,VEGFA
3815,ENSG00000157404,KIT
3105,ENSG00000206503,HLA-A
3106,ENSG00000234745,HLA-B
3107,ENSG00000204525,HLA-C
3133,ENSG00000204592,HLA-E
3134,ENSG00000204642,HLA-F
3135,ENSG00000204632,HLA-G
1436,ENSG00000182578,CSF1R
468,ENSG00000128272,ATF4
5923,ENSG00000058335,RASGRF1
5924,ENSG00000113319,RASGRF2
115727,ENSG00000171777,RASGRP4
4605,ENSG00000101057,MYBL2
6416,ENSG00000065559,MAP2K4
6382,ENSG00000115884,SDC1
4854,ENSG00000074181,NOTCH3
6775,ENSG00000138378,STAT4
329,ENSG00000110330,BIRC2
330,ENSG00000023445,BIRC3
1978,ENSG00000187840,EIF4EBP1
64170,ENSG00000187796,CARD9
3480,ENSG00000140443,IGF1R
7305,ENSG00000011600,TYROBP
10744,ENSG00000250254,PTTG2
9232,ENSG00000164611,PTTG1
382,ENSG00000165527,ARF6
5610,ENSG00000055332,EIF2AK2
4217,ENSG00000197442,MAP3K5
8517,ENSG00000269335,IKBKG
7249,ENSG00000103197,TSC2
146850,ENSG00000276231,PIK3R6
23533,ENSG00000141506,PIK3R5
5294,ENSG00000105851,PIK3CG
4773,ENSG00000101096,NFATC2
10912,ENSG00000130222,GADD45G
1647,ENSG00000116717,GADD45A
4616,ENSG00000099860,GADD45B
22800,ENSG00000133818,RRAS2
22808,ENSG00000158186,MRAS
6237,ENSG00000126458,RRAS
5578,ENSG00000154229,PRKCA
2932,ENSG00000082701,GSK3B
3456,ENSG00000171855,IFNB1
2260,ENSG00000077782,FGFR1
7412,ENSG00000162692,VCAM1
3576,ENSG00000169429,CXCL8
1147,ENSG00000213341,CHUK
6696,ENSG00000118785,SPP1
10673,ENSG00000102524,TNFSF13B
23765,ENSG00000177663,IL17RA
2213,ENSG00000072694,FCGR2B
4914,ENSG00000198400,NTRK1
5881,ENSG00000169750,RAC3
3627,ENSG00000169245,CXCL10
5743,ENSG00000073756,PTGS2
3551,ENSG00000104365,IKBKB
7410,ENSG00000160293,VAV2
148022,ENSG00000127666,TICAM1
3559,ENSG00000134460,IL2RA
3605,ENSG00000112115,IL17A
112744,ENSG00000112116,IL17F
2064,ENSG00000141736,ERBB2
2625,ENSG00000107485,GATA3
51561,ENSG00000110944,IL23A
993,ENSG00000164045,CDC25A
6929,ENSG00000071564,TCF3
720,ENSG00000244731,C4A
721,ENSG00000224389,C4B
9020,ENSG00000006062,MAP3K14
8792,ENSG00000141655,TNFRSF11A
355,ENSG00000026103,FAS
6688,ENSG00000066336,SPI1
5819,ENSG00000130202,NECTIN2
1520,ENSG00000163131,CTSS
3383,ENSG00000090339,ICAM1
3595,ENSG00000081985,IL12RB2
1439,ENSG00000100368,CSF2RB
3563,ENSG00000185291,IL3RA
5606,ENSG00000034152,MAP2K3
3673,ENSG00000164171,ITGA2
840,ENSG00000165806,CASP7
5728,ENSG00000171862,PTEN
29110,ENSG00000183735,TBK1
149233,ENSG00000162594,IL23R
7188,ENSG00000082512,TRAF5
10392,ENSG00000106100,NOD1
3676,ENSG00000115232,ITGA4
861,ENSG00000159216,RUNX1
83593,ENSG00000266094,RASSF5
2185,ENSG00000120899,PTK2B
1649,ENSG00000175197,DDIT3
1437,ENSG00000164400,CSF2
3566,ENSG00000077238,IL4R
9261,ENSG00000162889,MAPKAPK2
5155,ENSG00000100311,PDGFB
5580,ENSG00000163932,PRKCD
967,ENSG00000135404,CD63
8743,ENSG00000121858,TNFSF10
8771,ENSG00000243509,TNFRSF6B
3164,ENSG00000123358,NR4A1
9180,ENSG00000145623,OSMR
5582,ENSG00000126583,PRKCG
2549,ENSG00000109458,GAB1
1029,ENSG00000147889,CDKN2A
59067,ENSG00000138684,IL21
51744,ENSG00000122223,CD244
8878,ENSG00000161011,SQSTM1
55054,ENSG00000085978,ATG16L1
624,ENSG00000168398,BDKRB2
3297,ENSG00000185122,HSF1
9447,ENSG00000163568,AIM2
79792,ENSG00000104518,GSDMD
10628,ENSG00000265972,TXNIP
8174,ENSG00000099866,MADCAM1
64806,ENSG00000166090,IL25
6097,ENSG00000143365,RORC
7248,ENSG00000165699,TSC1
1387,ENSG00000005339,CREBBP
2033,ENSG00000100393,EP300
2209,ENSG00000150337,FCGR1A
23365,ENSG00000196914,ARHGEF12
920,ENSG00000010610,CD4
5934,ENSG00000103479,RBL2
4318,ENSG00000100985,MMP9
332,ENSG00000089685,BIRC5
50943,ENSG00000049768,FOXP3
2214,ENSG00000203747,FCGR3A
4055,ENSG00000111321,LTBR
894,ENSG00000118971,CCND2
940,ENSG00000178562,CD28
50616,ENSG00000127318,IL22
5588,ENSG00000065675,PRKCQ
10018,ENSG00000153094,BCL2L11
1524,ENSG00000168329,CX3CR1
2829,ENSG00000173578,XCR1
10663,ENSG00000172215,CXCR6
643,ENSG00000160683,CXCR5
2833,ENSG00000186810,CXCR3
3577,ENSG00000163464,CXCR1
3579,ENSG00000180871,CXCR2
1236,ENSG00000126353,CCR7
1232,ENSG00000183625,CCR3
1230,ENSG00000163823,CCR1
729230,ENSG00000121807,CCR2
2826,ENSG00000184451,CCR10
1237,ENSG00000179934,CCR8
10803,ENSG00000173585,CCR9
1233,ENSG00000183813,CCR4
1235,ENSG00000112486,CCR6
1388,ENSG00000213676,ATF6B
7040,ENSG00000105329,TGFB1
958,ENSG00000101017,CD40
2065,ENSG00000065361,ERBB3
2066,ENSG00000178568,ERBB4
3791,ENSG00000128052,KDR
867,ENSG00000110395,CBL
5566,ENSG00000072062,PRKACA
5567,ENSG00000142875,PRKACB
5568,ENSG00000165059,PRKACG
85417,ENSG00000147082,CCNB3
891,ENSG00000134057,CCNB1
9133,ENSG00000157456,CCNB2
896,ENSG00000112576,CCND3
2335,ENSG00000115414,FN1
2308,ENSG00000150907,FOXO1
10451,ENSG00000134215,VAV3
7409,ENSG00000141968,VAV1
2215,ENSG00000162747,FCGR3B
2207,ENSG00000158869,FCER1G
3695,ENSG00000139626,ITGB7
7132,ENSG00000067182,TNFRSF1A
1111,ENSG00000149554,CHEK1
1874,ENSG00000205250,E2F4
1875,ENSG00000133740,E2F5
2775,ENSG00000087258,GNAO1
9641,ENSG00000263528,IKBKE
3667,ENSG00000169047,IRS1
117581,ENSG00000233608,TWIST2
7291,ENSG00000122691,TWIST1
23594,ENSG00000091651,ORC6
23595,ENSG00000135336,ORC3
4998,ENSG00000085840,ORC1
4999,ENSG00000115942,ORC2
5000,ENSG00000115947,ORC4
5001,ENSG00000164815,ORC5
2212,ENSG00000143226,FCGR2A
11211,ENSG00000111432,FZD10
2535,ENSG00000180340,FZD2
7855,ENSG00000163251,FZD5
7976,ENSG00000104290,FZD3
8321,ENSG00000157240,FZD1
8322,ENSG00000174804,FZD4
8323,ENSG00000164930,FZD6
8324,ENSG00000155760,FZD7
8325,ENSG00000177283,FZD8
8326,ENSG00000188763,FZD9
23236,ENSG00000182621,PLCB1
5330,ENSG00000137841,PLCB2
5331,ENSG00000149782,PLCB3
5332,ENSG00000101333,PLCB4
4046,ENSG00000130592,LSP1
2767,ENSG00000088256,GNA11
2776,ENSG00000156052,GNAQ
10454,ENSG00000100324,TAB1
29126,ENSG00000120217,CD274
11337,ENSG00000170296,GABARAP
11345,ENSG00000034713,GABARAPL2
23710,ENSG00000139112,GABARAPL1
391,ENSG00000177105,RHOG
2919,ENSG00000163739,CXCL1
2920,ENSG00000081041,CXCL2
2921,ENSG00000163734,CXCL3
5371,ENSG00000140464,PML
1536,ENSG00000165168,CYBB
10376,ENSG00000123416,TUBA1B
112714,ENSG00000152086,TUBA3E
113457,ENSG00000075886,TUBA3D
51807,ENSG00000183785,TUBA8
7277,ENSG00000127824,TUBA4A
7278,ENSG00000198033,TUBA3C
7846,ENSG00000167552,TUBA1A
79861,ENSG00000178462,TUBAL3
84790,ENSG00000167553,TUBA1C
23118,ENSG00000055208,TAB2
6009,ENSG00000106615,RHEB
3554,ENSG00000115594,IL1R1
4210,ENSG00000103313,MEFV
8717,ENSG00000102871,TRADD
5933,ENSG00000080839,RBL1
79923,ENSG00000111704,NANOG
4792,ENSG00000100906,NFKBIA
4049,ENSG00000226979,LTA
3558,ENSG00000109471,IL2
657,ENSG00000107779,BMPR1A
6385,ENSG00000124145,SDC4
10393,ENSG00000164162,ANAPC10
246184,ENSG00000176386,CDC26
25847,ENSG00000129055,ANAPC13
29882,ENSG00000176248,ANAPC2
29945,ENSG00000053900,ANAPC4
51433,ENSG00000089053,ANAPC5
51434,ENSG00000196510,ANAPC7
51529,ENSG00000141552,ANAPC11
64682,ENSG00000153107,ANAPC1
8697,ENSG00000094880,CDC23
