"Entrez","Ensembl","Symbol"
"6928","ENSG00000275410","HNF1B"
"3280","ENSG00000114315","HES1"
"168620","ENSG00000180535","BHLHA15"
"3175","ENSG00000169856","ONECUT1"
"2645","ENSG00000106633","GCK"
"3651","ENSG00000139515","PDX1"
"3171","ENSG00000170608","FOXA3"
"4760","ENSG00000162992","NEUROD1"
"389692","ENSG00000182759","MAFA"
"3174","ENSG00000164749","HNF4G"
"4821","ENSG00000125820","NKX2-2"
"3630","ENSG00000254647","INS"
"6927","ENSG00000135100","HNF1A"
"3375","ENSG00000121351","IAPP"
"5078","ENSG00000106331","PAX4"
"5080","ENSG00000007372","PAX6"
"6514","ENSG00000163581","SLC2A2"
"4825","ENSG00000163623","NKX6-1"
"5313","ENSG00000143627","PKLR"
"2494","ENSG00000116833","NR5A2"
"50674","ENSG00000122859","NEUROG3"
"3172","ENSG00000101076","HNF4A"
"3087","ENSG00000152804","HHEX"
"3110","ENSG00000130675","MNX1"
"3170","ENSG00000125798","FOXA2"
"222546","ENSG00000185002","RFX6"
"886","ENSG00000163394","CCKAR"
"1131","ENSG00000133019","CHRM3"
"6558","ENSG00000064651","SLC12A2"
"2776","ENSG00000156052","GNAQ"
"23236","ENSG00000182621","PLCB1"
"5330","ENSG00000137841","PLCB2"
"5331","ENSG00000149782","PLCB3"
"5332","ENSG00000101333","PLCB4"
"3708","ENSG00000150995","ITPR1"
"3709","ENSG00000123104","ITPR2"
"3710","ENSG00000096433","ITPR3"
"490","ENSG00000070961","ATP2B1"
"491","ENSG00000157087","ATP2B2"
"492","ENSG00000067842","ATP2B3"
"493","ENSG00000058668","ATP2B4"
"5578","ENSG00000154229","PRKCA"
"5579","ENSG00000166501","PRKCB"
"5582","ENSG00000126583","PRKCG"
"3784","ENSG00000053918","KCNQ1"
"3778","ENSG00000156113","KCNMA1"
"23439","ENSG00000101892","ATP1B4"
"476","ENSG00000163399","ATP1A1"
"477","ENSG00000018625","ATP1A2"
"478","ENSG00000105409","ATP1A3"
"480","ENSG00000132681","ATP1A4"
"481","ENSG00000143153","ATP1B1"
"482","ENSG00000129244","ATP1B2"
"483","ENSG00000069849","ATP1B3"
"486","ENSG00000137731","FXYD2"
"6548","ENSG00000090020","SLC9A1"
"1811","ENSG00000091138","SLC26A3"
"1080","ENSG00000001626","CFTR"
"6344","ENSG00000080293","SCTR"
"6522","ENSG00000164889","SLC4A2"
"1179","ENSG00000016490","CLCA1"
"22802","ENSG00000016602","CLCA4"
"9635","ENSG00000137975","CLCA2"
"760","ENSG00000104267","CA2"
"6262","ENSG00000198626","RYR2"
"219931","ENSG00000162341","TPCN2"
"276","ENSG00000237763","AMY1A"
"277","ENSG00000174876","AMY1B"
"278","ENSG00000187733","AMY1C"
"279","ENSG00000243480","AMY2A"
"280","ENSG00000240038","AMY2B"
"8671","ENSG00000080493","SLC4A4"
"5644","ENSG00000204983","PRSS1"
"5645","ENSG00000275896","PRSS2"
"5646","ENSG00000010438","PRSS3"
"1357","ENSG00000091704","CPA1"
"1358","ENSG00000158516","CPA2"
"1359","ENSG00000163751","CPA3"
"1360","ENSG00000153002","CPB1"
"1361","ENSG00000080618","CPB2"
"10136","ENSG00000142789","CELA3A"
"23436","ENSG00000219073","CELA3B"
"51032","ENSG00000215704","CELA2B"
"63036","ENSG00000142615","CELA2A"
"5407","ENSG00000187021","PNLIPRP1"
"5408","ENSG00000266200","PNLIPRP2"
"1056","ENSG00000170835","CEL"
"26279","ENSG00000117215","PLA2G2D"
"30814","ENSG00000188784","PLA2G2E"
"391013","ENSG00000187980","PLA2G2C"
"50487","ENSG00000100078","PLA2G3"
"5319","ENSG00000170890","PLA2G1B"
"5320","ENSG00000188257","PLA2G2A"
"5322","ENSG00000127472","PLA2G5"
"64600","ENSG00000158786","PLA2G2F"
"81579","ENSG00000123739","PLA2G12A"
"8399","ENSG00000069764","PLA2G10"
"84647","ENSG00000138308","PLA2G12B"
"5406","ENSG00000175535","PNLIP"
"487","ENSG00000196296","ATP2A1"
"488","ENSG00000174437","ATP2A2"
"489","ENSG00000074370","ATP2A3"
"7220","ENSG00000144935","TRPC1"
"1504","ENSG00000168925","CTRB1"
"440387","ENSG00000168928","CTRB2"
"683","ENSG00000109743","BST1"
"952","ENSG00000004468","CD38"
"2778","ENSG00000087460","GNAS"
